-0.22	0.37	0.92	0.26	-0.28	1.56	-0.45	-0.45	0.08	0.28	-0.72	1.66	0.42	1.62	1.00	0.08	Septic
1.30	0.40	-0.05	0.02	-0.68	-0.43	1.47	1.93	-0.27	0.84	1.01	-0.18	-0.64	0.32	-0.46	1.63	HVD
1.11	1.25	0.85	0.85	-0.73	-1.80	1.43	1.52	0.05	0.99	0.60	-0.80	-0.40	0.16	0.01	1.12	HVD
-0.16	0.21	0.70	0.45	0.13	1.60	-0.28	-0.59	0.73	0.11	-0.02	0.96	0.52	1.20	1.24	-0.24	Septic
1.50	-0.54	0.67	0.60	1.43	-0.85	-0.71	-0.09	-0.02	0.76	0.68	1.18	0.00	1.45	-0.40	0.21	TB
0.25	0.77	1.23	1.00	0.02	0.38	-0.19	0.28	1.21	-0.04	0.69	0.35	0.21	-0.50	0.90	0.19	CD
1.07	-0.47	0.15	0.60	0.29	-0.73	0.67	0.93	0.05	0.46	0.67	0.21	-0.13	0.53	-0.25	1.73	TB
0.24	0.40	0.75	0.39	0.00	0.72	0.49	0.40	0.49	0.38	0.46	0.44	0.36	0.14	0.82	0.30	CD
1.91	-0.48	0.92	1.11	-1.05	0.44	-1.30	-0.99	-1.26	1.32	1.47	1.51	0.83	1.65	-0.36	0.08	Septic
0.22	0.43	0.48	0.16	0.08	1.33	0.15	0.16	0.13	0.19	-0.30	0.54	0.21	0.71	1.06	0.39	Septic
-0.23	-0.38	0.73	-0.14	1.33	0.20	-0.45	0.57	0.07	0.01	-0.49	0.88	0.12	1.13	0.51	1.32	TB
0.99	-0.69	0.32	0.51	0.49	0.79	-0.57	-0.13	-0.23	0.52	0.65	0.92	0.43	0.74	0.20	0.51	Septic
0.73	-0.13	1.74	0.54	0.23	-0.87	0.07	-0.46	-0.10	-0.01	-0.30	1.86	0.37	2.37	-0.38	-0.77	Septic
1.14	0.62	0.08	0.29	-0.39	-0.23	1.53	1.60	0.30	0.82	1.05	-0.16	-0.89	0.25	-0.51	1.14	HVD
0.43	0.47	0.73	0.39	-0.57	0.51	0.12	-0.21	0.62	0.42	0.43	1.09	-0.32	0.91	0.76	0.13	CD
0.40	0.97	0.29	0.58	-0.95	-0.55	1.46	1.64	0.54	1.03	0.83	-0.24	-0.17	0.05	-0.30	1.24	HVD
0.73	0.48	0.58	0.43	0.41	0.04	0.91	0.60	0.80	0.42	0.18	0.51	-0.27	0.14	0.30	0.59	CD
0.03	0.03	0.87	0.42	0.13	1.69	-0.41	-0.78	-0.24	0.06	0.04	0.97	0.83	1.14	1.18	-0.32	Septic
0.34	0.64	0.44	0.50	-0.08	0.26	0.91	0.66	0.47	0.43	0.79	0.13	0.58	0.10	0.23	0.44	CD
0.40	0.01	0.54	-0.05	0.19	1.26	-0.11	0.20	0.05	-0.83	0.08	0.81	0.59	1.17	0.44	0.40	TB
0.40	0.22	0.68	0.56	-0.66	-0.77	1.14	1.11	-0.45	1.08	0.81	0.90	-0.71	0.87	-0.59	1.46	HVD
-0.04	0.26	0.64	0.28	-0.06	1.07	0.07	0.35	1.00	-0.03	-0.45	0.88	0.31	0.87	0.85	-0.08	CD
0.90	-0.17	-0.17	0.24	0.52	-0.24	0.41	1.21	-0.55	0.67	0.40	0.26	0.67	0.80	-0.59	1.14	HVD
1.31	0.13	-0.35	-0.07	0.13	-1.12	1.24	1.42	-0.65	0.91	1.33	0.13	-0.07	0.55	-0.43	1.68	HVD
0.28	0.86	0.66	0.53	-0.24	-0.55	1.00	1.04	1.00	0.44	0.59	0.07	-0.07	-0.20	0.58	0.86	CA
