id,label
418,0
419,1
420,0
421,1
422,1
423,1
424,1
425,0
426,1
427,1
428,1
429,1
430,1
431,0
432,1
433,0
434,1
435,1
436,0
437,1
438,1
439,0
440,1
441,1
442,1
443,0
444,1
445,0
446,1
447,1
448,1
449,1
450,1
451,0
452,1
453,1
454,0
455,0
456,1
457,1
458,0
459,0
460,0
461,1
462,0
463,0
464,1
465,1
466,1
467,1
468,1
469,0
470,1
471,1
472,1
473,1
474,0
475,1
476,0
477,1
478,1
479,1
480,1
481,1
482,1
483,0
484,1
485,1
486,1
487,1
488,1
489,0
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,0
500,1
501,0
502,1
503,1
504,1
505,0
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,0
515,1
516,1
517,1
518,0
519,0
520,1
521,0
522,1
523,1
524,1
525,1
526,0
527,0
528,0
529,1
530,1
531,1
532,1
533,1
534,0
535,0
536,1
537,1
538,1
539,0
540,0
541,1
542,1
543,1
544,1
545,1
546,0
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,0
556,1
557,1
558,1
559,1
560,1
561,1
562,0
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,0
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,0
582,1
583,0
584,0
585,1
586,0
587,0
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,0
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,0
610,1
611,1
612,1
613,1
614,1
615,0
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,0
624,1
625,1
626,1
627,1
628,0
629,0
630,1
631,1
632,0
633,1
634,1
635,0
636,1
637,1
638,1
639,1
640,1
641,1
642,0
643,1
644,0
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,0
657,1
658,0
659,1
660,1
661,1
662,1
663,1
664,0
665,0
666,1
667,1
668,0
669,1
670,1
671,1
672,0
673,1
674,1
675,1
676,1
677,0
678,0
679,0
680,1
681,1
682,1
683,1
684,0
685,0
686,0
687,1
688,0
689,1
690,1
691,0
692,1
693,1
694,0
695,1
696,0
697,1
698,1
699,1
700,0
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,0
723,1
724,0
725,1
726,0
727,1
728,0
729,1
730,0
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,0
739,0
740,0
741,1
742,1
743,1
744,0
745,1
746,0
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,0
757,0
758,0
759,0
760,0
761,1
762,1
763,1
764,0
765,0
766,0
767,1
768,0
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,0
778,1
779,0
780,0
781,1
782,0
783,1
784,1
785,1
786,1
787,1
788,0
789,0
790,0
791,0
792,1
793,1
794,1
795,1
