id,label
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,0
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,0
444,1
445,0
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,0
455,0
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,0
471,1
472,1
473,1
474,0
475,1
476,1
477,1
478,1
479,1
480,0
481,1
482,1
483,0
484,0
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,0
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,0
514,0
515,0
516,1
517,1
518,0
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,0
527,1
528,0
529,1
530,1
531,0
532,1
533,1
534,1
535,0
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,0
544,1
545,1
546,0
547,1
548,1
549,1
550,0
551,0
552,1
553,1
554,1
555,0
556,1
557,1
558,1
559,1
560,0
561,1
562,0
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,0
572,1
573,0
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,0
584,1
585,1
586,1
587,0
588,1
589,1
590,1
591,0
592,1
593,1
594,1
595,0
596,0
597,0
598,0
599,1
600,1
601,1
602,0
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,0
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,0
659,1
660,1
661,1
662,1
663,1
664,0
665,1
666,1
667,1
668,0
669,1
670,1
671,1
672,0
673,1
674,1
675,0
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,0
686,0
687,1
688,0
689,1
690,1
691,0
692,1
693,1
694,1
695,1
696,0
697,1
698,1
699,0
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,0
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,0
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,1
747,0
748,1
749,1
750,1
751,1
752,1
753,0
754,1
755,1
756,1
757,1
758,1
759,0
760,0
761,1
762,1
763,1
764,0
765,1
766,1
767,1
768,0
769,1
770,0
771,1
772,1
773,1
774,1
775,1
776,1
777,0
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,0
789,1
790,0
791,1
792,1
793,1
794,1
795,1
