418,1
419,1
420,1
421,0
422,1
423,0
424,1
425,0
426,1
427,1
428,1
429,1
430,0
431,0
432,1
433,0
434,0
435,1
436,1
437,1
438,0
439,0
440,1
441,1
442,1
443,0
444,1
445,0
446,0
447,0
448,0
449,1
450,1
451,0
452,0
453,0
454,0
455,0
456,1
457,1
458,0
459,0
460,0
461,0
462,1
463,0
464,0
465,0
466,1
467,1
468,1
469,1
470,0
471,0
472,1
473,0
474,0
475,1
476,1
477,1
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,1
486,1
487,1
488,1
489,1
490,0
491,0
492,1
493,0
494,1
495,1
496,1
497,0
498,0
499,0
500,1
501,0
502,1
503,1
504,1
505,0
506,0
507,1
508,0
509,0
510,0
511,0
512,1
513,0
514,0
515,0
516,1
517,0
518,0
519,0
520,1
521,1
522,1
523,1
524,1
525,0
526,0
527,0
528,0
529,1
530,1
531,0
532,1
533,0
534,0
535,0
536,1
537,1
538,1
539,1
540,0
541,0
542,1
543,0
544,1
545,0
546,0
547,0
548,1
549,0
550,0
551,0
552,1
553,1
554,1
555,0
556,1
557,1
558,1
559,1
560,0
561,1
562,0
563,1
564,0
565,1
566,1
567,0
568,1
569,1
570,0
571,0
572,0
573,0
574,1
575,0
576,1
577,0
578,0
579,1
580,1
581,1
582,1
583,0
584,1
585,1
586,0
587,0
588,1
589,1
590,0
591,0
592,1
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,1
601,1
602,0
603,0
604,1
605,1
606,0
607,1
608,1
609,0
610,0
611,1
612,1
613,0
614,1
615,0
616,1
617,0
618,1
619,1
620,1
621,1
622,1
623,0
624,1
625,1
626,1
627,0
628,1
629,0
630,1
631,1
632,0
633,0
634,1
635,1
636,1
637,1
638,0
639,1
640,0
641,0
642,0
643,1
644,0
645,1
646,1
647,1
648,1
649,0
650,0
651,1
652,0
653,1
654,0
655,1
656,0
657,0
658,0
659,1
660,1
661,1
662,0
663,1
664,0
665,0
666,1
667,1
668,0
669,1
670,1
671,1
672,0
673,1
674,1
675,0
676,1
677,0
678,1
679,0
680,1
681,1
682,0
683,0
684,1
685,0
686,0
687,1
688,0
689,0
690,1
691,0
692,1
693,1
694,1
695,1
696,0
697,0
698,0
699,0
700,0
701,1
702,0
703,1
704,1
705,0
706,1
707,0
708,1
709,1
710,1
711,0
712,0
713,1
714,1
715,1
716,0
717,0
718,1
719,1
720,1
721,1
722,1
723,0
724,0
725,1
726,1
727,0
728,0
729,1
730,1
731,1
732,0
733,1
734,0
735,1
736,1
737,0
738,1
739,1
740,0
741,1
742,1
743,1
744,0
745,1
746,0
747,0
748,0
749,1
750,0
751,1
752,0
753,0
754,1
755,1
756,0
757,1
758,0
759,0
760,0
761,1
762,0
763,1
764,0
765,1
766,1
767,0
768,0
769,1
770,0
771,1
772,1
773,1
774,0
775,1
776,0
777,0
778,1
779,1
780,0
781,0
782,0
783,1
784,1
785,1
786,0
787,1
788,0
789,0
790,0
791,1
792,1
793,0
794,1
795,0
