id,label
0,0
1,0
2,1
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,0
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,0
22,1
23,0
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,0
33,0
34,0
35,1
36,1
37,1
38,1
39,1
40,0
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,0
57,0
58,0
59,0
60,1
61,1
62,0
63,1
64,1
65,0
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,0
81,1
82,1
83,1
84,0
85,1
86,0
87,1
88,1
89,0
90,0
91,1
92,1
93,0
94,1
95,1
96,1
97,1
98,1
99,0
100,1
101,1
102,1
103,0
104,1
105,0
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,0
116,1
117,0
118,1
119,0
120,1
121,1
122,0
123,1
124,1
125,1
126,1
127,1
128,1
129,0
130,1
131,1
132,1
133,1
134,0
135,0
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,0
145,0
146,0
147,1
148,1
149,0
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,0
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,0
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,0
178,1
179,1
180,0
181,0
182,1
183,1
184,1
185,0
186,1
187,1
188,0
189,1
190,0
191,1
192,1
193,1
194,1
195,1
196,1
197,0
198,1
199,0
200,1
201,0
202,1
203,1
204,1
205,1
206,1
207,0
208,0
209,0
210,1
211,1
212,1
213,0
214,1
215,1
216,1
217,1
218,0
219,0
220,1
221,0
222,0
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,0
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,0
241,1
242,1
243,1
244,1
245,0
246,1
247,1
248,1
249,0
250,1
251,1
252,1
253,1
254,1
255,1
256,0
257,1
258,1
259,1
260,1
261,1
262,0
263,0
264,0
265,1
266,0
267,1
268,1
269,1
270,0
271,1
272,1
273,1
274,1
275,1
276,0
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,0
292,1
293,1
294,0
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,0
308,1
309,1
310,0
311,1
312,1
313,1
314,0
315,0
316,1
317,1
318,1
319,1
320,1
321,1
322,0
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,0
333,1
334,0
335,1
336,0
337,1
338,1
339,1
340,1
341,0
342,1
343,1
344,1
345,1
346,1
347,0
348,0
349,1
350,1
351,0
352,1
353,1
354,1
355,0
356,1
357,0
358,1
359,1
360,1
361,0
362,1
363,1
364,1
365,1
366,0
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,0
378,1
379,0
380,1
381,0
382,1
383,0
384,1
385,0
386,1
387,0
388,1
389,0
390,1
391,0
392,1
393,0
394,1
395,0
396,1
397,0
398,1
399,0
400,1
401,0
402,1
403,0
404,1
405,0
406,1
407,0
408,1
409,0
410,1
411,0
412,1
413,0
414,1
415,0
416,1
417,0
