1	2	1.372512	2.404094
2	2	3.866939	3.177484
3	2	2.762927	2.910694
4	2	2.005693	1.143872
5	1	0.829523	0.238054
6	1	0.086600	0.465593
7	2	1.599176	2.478260
8	1	-0.023710	0.409823
9	1	-0.775482	-0.433608
10	1	-0.052765	0.531997
11	1	-0.351977	-0.158625
12	3	0.231976	3.709256
13	1	0.540633	-0.804253
14	1	0.064860	-0.477993
15	1	-0.210852	0.508998
16	2	4.283858	1.707368
17	3	-0.712905	4.015626
18	1	-0.924381	-0.488593
19	2	2.116176	2.525056
20	2	4.024352	5.128763
21	2	3.315926	3.417540
22	3	0.449720	4.272531
23	3	-0.362614	3.924018
24	3	-0.504943	4.620809
25	3	-1.081407	3.959850
26	1	0.707988	0.862170
27	2	4.592397	2.928955
28	2	1.941612	3.159357
29	2	1.881123	3.048394
30	3	-0.338635	4.683579
31	2	3.633938	2.542275
32	3	0.290253	4.137009
33	1	-2.022701	1.153143
34	2	4.290026	3.952503
35	2	4.017012	6.881202
36	2	3.090214	2.781784
37	1	-1.681520	-1.478507
38	3	1.219542	2.918235
39	1	1.340919	0.369872
40	2	2.270379	3.003406
41	3	-0.791263	3.635869
42	2	2.644588	1.896757
43	1	-0.278272	-0.284117
44	2	1.787593	1.539672
45	1	0.390112	-0.732698
46	3	-1.069738	4.033709
47	1	-0.876190	0.847821
48	3	0.115033	3.664851
49	1	0.641451	0.958606
50	2	4.197552	2.092001
51	2	2.364322	4.300827
52	2	2.720926	1.189709
53	1	-0.942015	-0.801382
54	2	2.718151	3.311571
55	1	0.147557	0.103499
56	2	2.383981	4.808902
57	2	3.476158	4.790148
58	1	0.728675	-0.944415
59	2	2.332773	2.426984
60	3	0.736516	3.408940
61	3	1.239320	3.267888
62	1	1.131023	0.036523
63	1	-0.389129	0.699568
64	1	0.478744	0.228048
65	1	1.473470	-0.733518
66	1	0.508558	0.130032
67	2	2.091049	0.994227
68	1	1.043807	-0.651285
69	2	2.908025	3.789494
70	2	1.887477	1.413107
71	3	0.007250	4.205163
72	1	0.356768	0.837716
73	1	-2.309068	-1.942414
74	1	0.241136	-0.315016
75	3	0.381982	2.436393
76	2	4.480652	2.640250
77	2	3.855689	0.723620
78	1	0.552889	1.088528
79	2	3.052851	2.568597
80	1	-0.354005	-0.208201
81	2	2.709433	1.887108
82	1	1.305570	-0.165951
83	3	-0.882649	3.847877
84	3	0.402291	3.691341
85	2	3.866071	2.628839
86	3	1.229188	4.490652
87	3	0.121037	4.098409
88	3	0.080755	4.126765
89	1	-0.699803	-1.000725
90	1	0.270909	1.379175
91	3	1.151155	3.922651
92	3	0.935009	3.551435
93	1	-1.069566	-0.744537
94	3	1.101011	2.654448
95	2	2.903701	3.739669
96	2	4.728881	1.690978
97	1	-1.771291	-0.477853
98	1	1.199146	0.532706
99	3	1.552699	3.769676
100	1	2.194961	0.260729
101	1	-0.824615	-0.485089
102	2	2.942542	2.692620
103	2	2.816004	2.114949
104	1	-0.496117	-0.041737
105	2	3.003916	1.128957
106	1	1.000021	0.848489
107	1	-0.130180	0.693916
108	2	3.416125	4.137938
109	1	-0.692662	0.030041
110	1	-0.033708	-0.561867
111	3	-0.085108	4.125445
112	1	0.384853	-0.275830
113	3	0.821775	2.289382
114	3	0.161905	4.248087
115	2	5.310477	3.156128
116	1	0.932941	0.123269
117	1	-0.605154	0.559457
118	1	1.221449	0.329315
119	1	0.495520	0.031264
120	1	0.481950	0.404554
121	2	4.021242	0.955382
122	3	-0.845965	4.161914
123	1	-0.907325	-0.262227
124	3	1.024615	4.036640
125	3	-0.121737	4.182412
126	1	-0.086813	-0.038664
